sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
native,6,original,F,threshold,raw,703,1.9217595948100925,0.2019914651493599
native,6,original,R,boosting,raw,703,1.913525506742509,0.19772403982930298
native,6,original,R,linear,raw,703,1.9909119180231667,0.1678520625889047
native,6,original,R,ml_selected,raw,703,1.9215696700085805,0.1806543385490754
native,6,original,R,qrf,raw,703,1.8487487338145738,0.16358463726884778
native,6,original,R,threshold,raw,703,1.8860773293787605,0.18492176386913228
native,6,own_scale,B,boosting,raw,703,1.8771564205626845,0.18207681365576103
native,6,own_scale,B,linear,raw,703,1.9919545806250365,0.16358463726884778
native,6,own_scale,B,ml_selected,raw,703,1.853772485932632,0.17923186344238975
native,6,own_scale,B,qrf,raw,703,1.822561080173714,0.17496443812233287
native,6,own_scale,B,threshold,raw,703,1.8856608559395716,0.1763869132290185
native,6,own_scale,F,boosting,raw,703,1.8929054565114554,0.1891891891891892
native,6,own_scale,F,linear,raw,703,2.0052491148179445,0.16500711237553342
native,6,own_scale,F,ml_selected,raw,703,1.852811201078618,0.16927453769559034
native,6,own_scale,F,qrf,raw,703,1.852811201078618,0.16927453769559034
native,6,own_scale,F,threshold,raw,703,1.9197776336640258,0.19487908961593173
native,6,own_scale,R,boosting,raw,703,1.8414165710276336,0.17496443812233287
native,6,own_scale,R,linear,raw,703,1.870981739522004,0.12802275960170698
native,6,own_scale,R,ml_selected,raw,703,1.8080524984340862,0.17780938833570412
native,6,own_scale,R,qrf,raw,703,1.794949538581415,0.1678520625889047
native,6,own_scale,R,threshold,raw,703,1.7591532748615626,0.14366998577524892
native,6,original,B,boosting,calibrated,703,1.8731954238787183,0.09388335704125178
native,6,original,B,linear,calibrated,703,1.9461599557120757,0.09388335704125178
native,6,original,B,ml_selected,calibrated,703,1.8753061907172686,0.0953058321479374
native,6,original,B,qrf,calibrated,703,1.8701260635554509,0.09672830725462304
native,6,original,B,threshold,calibrated,703,1.8302305696578927,0.09103840682788052
native,6,original,F,boosting,calibrated,703,1.902798698197482,0.0953058321479374
native,6,original,F,linear,calibrated,703,1.9545453682600398,0.10241820768136557
native,6,original,F,ml_selected,calibrated,703,1.8970749412520842,0.0953058321479374
native,6,original,F,qrf,calibrated,703,1.8473690134033403,0.09957325746799431
native,6,original,F,threshold,calibrated,703,1.8278289341973408,0.09957325746799431
native,6,original,R,boosting,calibrated,703,1.8017996341278548,0.09672830725462304
native,6,original,R,linear,calibrated,703,1.9391788590157342,0.09957325746799431
native,6,original,R,ml_selected,calibrated,703,1.835604512186662,0.09672830725462304
native,6,original,R,qrf,calibrated,703,1.8432071282219806,0.09672830725462304
native,6,original,R,threshold,calibrated,703,1.847583116156401,0.10241820768136557
native,6,own_scale,B,boosting,calibrated,703,1.8721607783301126,0.09672830725462304
native,6,own_scale,B,linear,calibrated,703,1.949998027325309,0.10241820768136557
native,6,own_scale,B,ml_selected,calibrated,703,1.8448946822932206,0.10099573257467995
native,6,own_scale,B,qrf,calibrated,703,1.8223952042439076,0.09957325746799431
native,6,own_scale,B,threshold,calibrated,703,1.880825707455617,0.10384068278805121
native,6,own_scale,F,boosting,calibrated,703,1.8612666575722743,0.09672830725462304
native,6,own_scale,F,linear,calibrated,703,1.9768183887971167,0.10526315789473684
native,6,own_scale,F,ml_selected,calibrated,703,1.8465953151761594,0.09815078236130868
native,6,own_scale,F,qrf,calibrated,703,1.8465953151761594,0.09815078236130868
native,6,own_scale,F,threshold,calibrated,703,1.849392124448275,0.09957325746799431
native,6,own_scale,R,boosting,calibrated,703,1.8288342279195007,0.10810810810810811
native,6,own_scale,R,linear,calibrated,703,1.8937081265289226,0.09815078236130868
native,6,own_scale,R,ml_selected,calibrated,703,1.8170509477170618,0.09815078236130868
native,6,own_scale,R,qrf,calibrated,703,1.8197501596061167,0.09672830725462304
native,6,own_scale,R,threshold,calibrated,703,1.8386514276354424,0.10384068278805121
native,12,original,B,boosting,raw,509,2.094488055494632,0.19842829076620824
native,12,original,B,linear,raw,509,2.122515635215562,0.18664047151277013
native,12,original,B,ml_selected,raw,509,2.002831388299834,0.17485265225933203
native,12,original,B,qrf,raw,509,2.002831388299834,0.17485265225933203
native,12,original,B,threshold,raw,509,2.2638305870214617,0.21218074656188604
