mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,EQ,R,ml_selected,calibrated,2026-01,294,1.4479435270874064,0.12585034013605442
available_macro,EQ,R,ml_selected,calibrated,2026-02,280,1.8690675540630184,0.10625
available_macro,EQ,R,ml_selected,calibrated,2026-03,201,1.8710986367714257,0.09203980099502487
available_macro,EQ,R,qrf,calibrated,2025-12,313,1.6180966218622557,0.09424920127795527
available_macro,EQ,R,qrf,calibrated,2026-01,294,1.4615036411267752,0.1130952380952381
available_macro,EQ,R,qrf,calibrated,2026-02,280,1.8690675540630184,0.10625
available_macro,EQ,R,qrf,calibrated,2026-03,201,1.8710986367714257,0.09203980099502487
available_macro,EQ,R,threshold,calibrated,2025-12,313,1.638817491380748,0.07987220447284345
available_macro,EQ,R,threshold,calibrated,2026-01,294,1.4614710704231297,0.10884353741496598
available_macro,EQ,R,threshold,calibrated,2026-02,280,1.887649575236026,0.09285714285714286
available_macro,EQ,R,threshold,calibrated,2026-03,201,1.835295392987378,0.0845771144278607
available_macro,PCA,B,boosting,raw,2025-12,313,1.6973786621135878,0.1597444089456869
available_macro,PCA,B,boosting,raw,2026-01,294,1.5584271095847084,0.20748299319727892
available_macro,PCA,B,boosting,raw,2026-02,280,2.121238873651787,0.22857142857142856
available_macro,PCA,B,boosting,raw,2026-03,201,1.957187778192511,0.19402985074626866
available_macro,PCA,B,linear,raw,2025-12,313,1.9360642238631895,0.16613418530351437
available_macro,PCA,B,linear,raw,2026-01,294,1.399831426626537,0.12244897959183673
available_macro,PCA,B,linear,raw,2026-02,280,1.9245834336768073,0.17142857142857143
available_macro,PCA,B,linear,raw,2026-03,201,1.9457608444288292,0.208955223880597
available_macro,PCA,B,matched_full_spec,raw,2025-12,313,1.6452066012775104,0.15654952076677317
available_macro,PCA,B,matched_full_spec,raw,2026-01,294,1.4586917592804385,0.17346938775510204
available_macro,PCA,B,matched_full_spec,raw,2026-02,280,2.116173583237827,0.22142857142857142
available_macro,PCA,B,matched_full_spec,raw,2026-03,201,1.9844539181040697,0.19402985074626866
available_macro,PCA,B,ml_selected,raw,2025-12,313,1.6452066012775104,0.15654952076677317
available_macro,PCA,B,ml_selected,raw,2026-01,294,1.4586917592804385,0.17346938775510204
available_macro,PCA,B,ml_selected,raw,2026-02,280,2.116173583237827,0.22142857142857142
available_macro,PCA,B,ml_selected,raw,2026-03,201,1.9844539181040697,0.19402985074626866
available_macro,PCA,B,qrf,raw,2025-12,313,1.6452066012775104,0.15654952076677317
available_macro,PCA,B,qrf,raw,2026-01,294,1.4586917592804385,0.17346938775510204
available_macro,PCA,B,qrf,raw,2026-02,280,2.116173583237827,0.22142857142857142
available_macro,PCA,B,qrf,raw,2026-03,201,1.9844539181040697,0.19402985074626866
available_macro,PCA,B,threshold,raw,2025-12,313,1.7508479630740725,0.14057507987220447
available_macro,PCA,B,threshold,raw,2026-01,294,1.4709728535761546,0.17687074829931973
available_macro,PCA,B,threshold,raw,2026-02,280,2.0358507116614653,0.20714285714285716
