method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
ae_selected,mean_market,ridge,clock_NY_quote,2026-02,324,85.74859226621066,1081.1748377942222,528.778554248138,-11.608659911729658,-1.0446646882862485
ae_selected,mean_market,ridge,clock_NY_quote,2026-03,237,113.73453968329643,2607.6271967717694,201.41799510686351,-21.92731129903836,-11.946346702479474
joint_ols,all_references,lightgbm,clock_NY_quote,all,907,101.0783836319875,93.38109387253391,105.47665838094848,0.07615169023159662,0.11467527217945417
joint_ols,all_references,lightgbm,clock_NY_quote,2026-01,346,71.70683232104308,67.19262184153806,80.28001177423877,0.06295370097083874,0.16302177395669437
joint_ols,all_references,lightgbm,clock_NY_quote,2026-02,324,109.4628607303812,88.99463217528204,110.10646278502362,0.18698788263459154,0.1917401583498436
joint_ols,all_references,lightgbm,clock_NY_quote,2026-03,237,132.49604681218676,137.61073485411268,135.93228327124893,-0.03860257090670771,-0.012347703889549422
joint_ols,all_references,ridge,clock_NY_quote,all,907,101.0783836319875,53.678167889145506,105.47665838094848,0.4689451299045271,0.4910896049126162
joint_ols,all_references,ridge,clock_NY_quote,2026-01,346,71.70683232104308,55.8153640855314,80.28001177423877,0.2216172116537377,0.3047414561610452
joint_ols,all_references,ridge,clock_NY_quote,2026-02,324,109.4628607303812,48.44566544628484,110.10646278502362,0.5574237223197398,0.5600107003630463
joint_ols,all_references,ridge,clock_NY_quote,2026-03,237,132.49604681218676,57.71133627537904,135.93228327124893,0.564429749687665,0.5754405437285436
joint_ols,mean_market,lightgbm,clock_NY_quote,all,907,101.0783836319875,105.44872334591133,105.47665838094848,-0.04323713495296522,0.0002648456584228853
joint_ols,mean_market,lightgbm,clock_NY_quote,2026-01,346,71.70683232104308,76.7974204078109,80.28001177423877,-0.0709916743215826,0.04338055375753447
joint_ols,mean_market,lightgbm,clock_NY_quote,2026-02,324,109.4628607303812,111.99457943476342,110.10646278502362,-0.023128563308957517,-0.017148100138556277
joint_ols,mean_market,lightgbm,clock_NY_quote,2026-03,237,132.49604681218676,138.32844251804073,135.93228327124893,-0.044019394134237055,-0.01762759507254308
joint_ols,mean_market,ridge,clock_NY_quote,all,907,101.0783836319875,105.43619662620547,105.47665838094848,-0.043113204204809685,0.00038360861411512737
joint_ols,mean_market,ridge,clock_NY_quote,2026-01,346,71.70683232104308,83.94340618061524,80.28001177423877,-0.1706472516424522,-0.04563270888248705
joint_ols,mean_market,ridge,clock_NY_quote,2026-02,324,109.4628607303812,113.9042865182945,110.10646278502362,-0.040574727887415785,-0.03449228716652075
joint_ols,mean_market,ridge,clock_NY_quote,2026-03,237,132.49604681218676,125.23722771961214,135.93228327124893,0.05478517485781298,0.07867929011605823
pca_1,all_references,lightgbm,clock_NY_quote,all,907,99.31929872767017,92.01613920652899,103.76238930187324,0.07353212935147857,0.11320335021556982
pca_1,all_references,lightgbm,clock_NY_quote,2026-01,346,70.78541999316114,66.72210729243153,79.40967967076982,0.05740324350865167,0.15977362496537684
pca_1,all_references,lightgbm,clock_NY_quote,2026-02,324,107.28913964084282,87.43934970080885,107.95237821883768,0.18501210846207172,0.19001923678277344
pca_1,all_references,lightgbm,clock_NY_quote,2026-03,237,130.08087504105498,135.20016807628025,133.58720416797158,-0.03935469402100478,-0.012074239582711366
pca_1,all_references,ridge,clock_NY_quote,all,907,99.31929872767017,53.697419337475594,103.76238930187324,0.45934556500734136,0.482496310091173
pca_1,all_references,ridge,clock_NY_quote,2026-01,346,70.78541999316114,55.89276612758043,79.40967967076982,0.21039154485513467,0.2961466869113415
pca_1,all_references,ridge,clock_NY_quote,2026-02,324,107.28913964084282,48.45942821381911,107.95237821883768,0.5483286716992968,0.5511036531721083
pca_1,all_references,ridge,clock_NY_quote,2026-03,237,130.08087504105498,57.653196277089236,133.58720416797158,0.556789602938224,0.5684227644692936
pca_1,mean_market,lightgbm,clock_NY_quote,all,907,99.31929872767017,103.7610181201336,103.76238930187324,-0.04472161452370349,1.3214631514046893e-05
pca_1,mean_market,lightgbm,clock_NY_quote,2026-01,346,70.78541999316114,75.90668999724122,79.40967967076982,-0.07234922113303655,0.04411288004248215
pca_1,mean_market,lightgbm,clock_NY_quote,2026-02,324,107.28913964084282,109.93873733105912,107.95237821883768,-0.024695861101002414,-0.018400327486947532
