model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
tcn_hard_shuffled_20260911_raw,False,False,1814,77,3.418627223526976,1.805132500186728,1.682665513219092,1.6494285696204558,0.7783902976846747,23.85781542206021,1.7450753720092302,0.7683110986286907,1.9778236609096422,4.064057808332433,2.1123684130782263,5.842604534891501,0.062409858790138294
tcn_hard_shuffled_20260911_cal,False,False,1814,77,3.8319440993307885,2.5492231321450207,1.6871625032955153,1.6446139011759493,0.7916207276736494,24.971949677247977,1.7488410791130529,0.7683110986286907,1.9725735347478504,4.064057808332433,2.098488603601947,5.842604534891501,0.06167857581753771
tcn_hard_shuffled_20260912_raw,False,False,1814,77,3.5476825706031456,2.249354652506195,1.6616201660498615,1.6579079112718837,0.7816979051819184,23.920837805052972,1.6903547170739677,0.41139808668454136,1.8753444354263444,2.9322372387104814,1.942648642600097,3.8402113922375696,0.02873455102410623
tcn_hard_shuffled_20260912_cal,False,False,1814,77,4.1279765316348005,2.28019161719837,1.6723553920554146,1.6534475445506474,0.7921719955898566,24.637409013662346,1.7001594776843492,0.41139808668454136,1.8812993304877992,2.9322372387104814,1.9471820969746476,3.8402113922375696,0.027804085628934685
tcn_hard_shuffled_ensemble_raw,True,False,1814,77,3.2008035022397063,1.6941354088547285,1.6648155310497508,1.638101335297139,0.7783902976846747,23.81127409350561,1.7016497101094965,0.5098562250238969,1.900113442213185,3.349549796203619,1.992206913459982,4.677604711393099,0.03683417905974581
tcn_hard_shuffled_ensemble_cal,True,False,1814,77,3.71149083124956,2.2610225232956886,1.673258392748087,1.635163246559644,0.7954796030871003,24.975664387820206,1.7099967830661194,0.509856225023897,1.9013812402737529,3.349549796203619,1.9904691346800658,4.677604711393099,0.03673839031803239
tcn_hard_tick_20260910_raw,False,False,1814,77,2.803456545827718,1.5728437771861725,1.681144146022948,1.6210288507490405,0.7513781697905182,22.82997143623453,1.7015850942463633,0.2088409048456867,1.7858671074170873,1.4607093991360565,1.8284897519599903,2.100624851249939,0.020440948223415713
tcn_hard_tick_20260910_cal,False,False,1814,77,3.1756739888653587,2.229056840504248,1.6805464877755936,1.628349390471223,0.7976846747519294,25.441370497371302,1.69891102944477,0.2088409048456867,1.775295961272822,1.4607093991360565,1.8148121318100094,2.100624851249939,0.01836454166917653
tcn_hard_tick_20260911_raw,False,False,1814,77,3.1397279315826436,2.0824998402287584,1.650701839169287,1.6176805297485868,0.8004410143329658,24.779084297367337,1.6704889672761059,0.24352971721510377,1.7611686302841028,1.6762247709875726,1.7849984234807081,2.0204536729505596,0.019787128106818513
tcn_hard_tick_20260911_cal,False,False,1814,77,2.878525371346454,2.488685118281326,1.6679767064638216,1.6266676633406365,0.814773980154355,25.684329955289215,1.6874614561680552,0.24352971721510377,1.7720721666983088,1.6762247709875726,1.7955352392060775,2.0204536729505596,0.019484749704233313
tcn_hard_tick_20260912_raw,False,False,1814,77,2.66981151683324,2.394669826476741,1.6527081357942022,1.6342760038597057,0.7839029768467475,24.17454074472682,1.6762727719770707,0.2778763626481364,1.7731221515021653,1.6581630357176624,1.8124785013416127,2.2026060069146203,0.02356463618286868
tcn_hard_tick_20260912_cal,False,False,1814,77,3.1616048776824734,2.0801235888985206,1.653099002611536,1.621961496497329,0.8004410143329658,24.993072515046688,1.6759226330077677,0.2778763626481364,1.7690350086603484,1.6581630357176624,1.8071064030448538,2.2026060069146203,0.02282363039623166
tcn_hard_tick_ensemble_raw,True,False,1814,77,2.582215092555639,1.781033071039299,1.6429282608781801,1.6026301345730884,0.7861080485115767,23.927865492776224,1.6603060609980043,0.18766942527179378,1.7484524076006387,1.5141632924050104,1.7830186661268415,2.016426760849818,0.017377800119824347
tcn_hard_tick_ensemble_cal,True,False,1814,77,2.7761041819486034,2.0328797093653153,1.6503902003991586,1.600730228914012,0.8042998897464168,25.143616815911166,1.6675730877108457,0.18766942527179378,1.7518392913982073,1.5141632924050104,1.7854047445231567,2.016426760849818,0.01718288731168726
gru_shuffled_max_20260910_raw,False,True,1814,77,2.1155476244490816,1.687375575310838,1.6549342338690154,1.6173270169195515,0.7872105843439912,23.975710011632597,1.6982639457759243,0.5495352550536032,1.782983599445745,1.6123601570150423,1.8127970845824,2.000932060239596,0.043329711906908853
gru_shuffled_max_20260910_cal,False,True,1814,77,2.3761334056657812,2.413602558664997,1.6590689893029713,1.6128556750139982,0.8004410143329658,24.947380579034462,1.7016613300636658,0.5495352550536032,1.7834855194041324,1.6123601570150423,1.8108981852921622,2.000932060239596,0.04259234076069464
gru_shuffled_max_20260911_raw,False,True,1814,77,2.282111901580559,1.4364265199839397,1.6754658359326426,1.6218054618077402,0.7701212789415656,24.00279227217871,1.700744150016933,0.3372308437721732,1.736049129465199,0.8150377920207535,1.7492816501414046,0.9493060895337291,0.02527831408429013
gru_shuffled_max_20260911_cal,False,True,1814,77,2.1651626328042917,2.147471023821847,1.673785661697789,1.6301197024748888,0.802646085997795,25.39688686652541,1.6973575827087968,0.3372308437721732,1.729722866868402,0.8150377920207535,1.7422111194216132,0.9493060895337291,0.023571921011007663
