task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,ae_selected,with_positioning,linear_qr,0.1,2026-03,153,17.618425334884332,11.578372727524982,-0.5216667963193551,0.35947712418300654
observed_change,ae_selected,with_positioning,linear_qr,0.5,all,577,16.820489774760862,17.137983525319658,0.018525735544659083,0.5545927209705372
observed_change,ae_selected,with_positioning,linear_qr,0.5,2026-01,220,13.283943056849553,14.26555639864685,0.06881002846060791,0.4681818181818182
observed_change,ae_selected,with_positioning,linear_qr,0.5,2026-02,204,15.806454922512398,16.601638280535468,0.0478978848102829,0.5588235294117647
observed_change,ae_selected,with_positioning,linear_qr,0.5,2026-03,153,23.25776681919992,21.983397890051634,-0.057969606678728525,0.673202614379085
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,all,577,9.225430162280807,8.587026022983327,-0.07434519676413931,0.14558058925476602
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,2026-01,220,5.909160525830329,8.374700244345386,0.29440333941263086,0.06818181818181818
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.500699387745604,6.572494775461143,0.01092361274802267,0.07352941176470588
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,2026-03,153,17.626896816034318,11.578372727524982,-0.5223984605479428,0.35294117647058826
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,all,577,16.646941023269843,17.137983525319658,0.0286522916377151,0.5493934142114385
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.071992369024102,14.26555639864685,0.08366754133305054,0.4954545454545455
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.222720736819976,16.601638280535468,0.08305912467278598,0.5343137254901961
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.68635045052367,21.983397890051634,-0.07746539315665513,0.6470588235294118
observed_change,joint_ols,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.11744356129083933,0.1611785095320624
observed_change,joint_ols,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.15341181662088432,0.10454545454545454
observed_change,joint_ols,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,joint_ols,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,joint_ols,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.022620931310135428,0.5597920277296361
observed_change,joint_ols,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664394,14.26555639864685,0.05966354611048963,0.4818181818181818
observed_change,joint_ols,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.03162531995877882,0.5686274509803921
observed_change,joint_ols,without_positioning,linear_qr,0.5,2026-03,153,22.445268795625726,21.983397890051634,-0.02100998707679791,0.6601307189542484
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,all,577,9.697907311577174,8.587026022983327,-0.12936740678560343,0.17677642980935876
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.068030993212882,8.374700244345386,0.15602579352195556,0.12727272727272726
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,2026-02,204,6.9349531112550356,6.572494775461143,-0.05514775563567653,0.10294117647058823
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,2026-03,153,17.163367748870378,11.578372727524982,-0.4823644179348556,0.3464052287581699
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,all,577,16.905956419170497,17.137983525319658,0.013538763519428287,0.5389948006932409
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.666055339553965,14.26555639864685,0.04202437271565174,0.4954545454545455
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.837145147868545,16.601638280535468,0.046049258497774304,0.5343137254901961
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,2026-03,153,22.989719405191636,21.983397890051634,-0.045776431840657494,0.6078431372549019
observed_change,joint_ols,with_positioning,linear_qr,0.1,all,577,9.686506615873556,8.587026022983327,-0.1280397415761232,0.13344887348353554
observed_change,joint_ols,with_positioning,linear_qr,0.1,2026-01,220,6.902611126599345,8.374700244345386,0.1757781263562237,0.05
observed_change,joint_ols,with_positioning,linear_qr,0.1,2026-02,204,6.739807810146484,6.572494775461143,-0.02545654890590643,0.05392156862745098
observed_change,joint_ols,with_positioning,linear_qr,0.1,2026-03,153,17.618425334884332,11.578372727524982,-0.5216667963193551,0.35947712418300654
observed_change,joint_ols,with_positioning,linear_qr,0.5,all,577,16.820489774760862,17.137983525319658,0.018525735544659083,0.5545927209705372
observed_change,joint_ols,with_positioning,linear_qr,0.5,2026-01,220,13.283943056849553,14.26555639864685,0.06881002846060791,0.4681818181818182
observed_change,joint_ols,with_positioning,linear_qr,0.5,2026-02,204,15.806454922512398,16.601638280535468,0.0478978848102829,0.5588235294117647
observed_change,joint_ols,with_positioning,linear_qr,0.5,2026-03,153,23.25776681919992,21.983397890051634,-0.057969606678728525,0.673202614379085
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,all,577,9.316167409609815,8.587026022983327,-0.08491198054773874,0.14211438474870017
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,2026-01,220,5.96011946386572,8.374700244345386,0.2883184723071128,0.05454545454545454
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.439955860101327,6.572494775461143,0.02016569352853026,0.07352941176470588
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,2026-03,153,17.976805998913292,11.578372727524982,-0.5526193897850145,0.35947712418300654
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,all,577,16.68249101143417,17.137983525319658,0.0265779526052492,0.5407279029462738
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.203781620831638,14.26555639864685,0.0744292580074849,0.4818181818181818
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.271297153302116,16.601638280535468,0.08013312329501276,0.5196078431372549
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.56614861268577,21.983397890051634,-0.07199754699205951,0.6535947712418301
own_residual,sequential_ols,without_positioning,linear_qr,0.1,all,577,1.779360394051519,1.8784714442591324,0.05276154210941586,0.16464471403812825
own_residual,sequential_ols,without_positioning,linear_qr,0.1,2026-01,220,1.6552642788757532,1.6115054895173853,-0.02715398094701671,0.17727272727272728
own_residual,sequential_ols,without_positioning,linear_qr,0.1,2026-02,204,1.8372776141723157,1.8803907863096971,0.022927772488181453,0.14215686274509803
own_residual,sequential_ols,without_positioning,linear_qr,0.1,2026-03,153,1.8805762923131262,2.259784936186382,0.16780740405908234,0.17647058823529413
own_residual,sequential_ols,without_positioning,linear_qr,0.5,all,577,3.828072861070909,4.035743630129041,0.05145786950086606,0.5563258232235702
own_residual,sequential_ols,without_positioning,linear_qr,0.5,2026-01,220,3.434803660892226,3.6737035729939267,0.06502971928870316,0.6045454545454545
own_residual,sequential_ols,without_positioning,linear_qr,0.5,2026-02,204,4.09291373745157,4.064752123086645,-0.006928248885085697,0.5
