definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,R,raw,-5.0,nonoverlap,threshold,138,5,0.06739130434782609,0.060144927536231886,0.007246376811594203,-0.014818754925137902,0.02962962962962963,10.75268817204301,-28.05218068535826,37.37373737373737,1.0,0.552
EQ,original,R,raw,-5.0,nonoverlap,historical,138,5,0.06521739130434782,0.060144927536231886,0.0050724637681159425,-0.01818513603185137,0.025391980360065465,7.777777777777779,-27.999999999999996,38.20224719101123,1.0,0.641
EQ,original,R,raw,-5.0,nonoverlap,state_hist,138,5,0.07536231884057973,0.060144927536231886,0.01521739130434783,-0.00720764705882353,0.04244702867842712,20.192307692307693,-12.371134020618557,44.14527027027027,1.0,0.235
EQ,original,R,raw,-10.0,full,linear,509,5,0.06090373280943026,0.06041257367387033,0.0004911591355599203,-0.00968866365667473,0.011095195556133058,0.8064516129032239,-16.798286002851707,18.05285138248847,1.0,0.924
EQ,original,R,raw,-10.0,full,threshold,509,5,0.06031434184675836,0.06041257367387033,-9.823182711198459e-05,-0.005876009316770186,0.005354531537398179,-0.16286644951140114,-10.578701172468259,8.76645798952429,1.0,0.9725
EQ,original,R,raw,-10.0,full,historical,509,5,0.07956777996070727,0.06041257367387033,0.019155206286836934,0.003982207961111221,0.03478695201758157,24.074074074074073,5.107789142407547,43.17272671904503,1.0,0.011
EQ,original,R,raw,-10.0,full,state_hist,509,5,0.060510805500982326,0.06041257367387033,9.823182711198459e-05,-0.0018644233093778162,0.002758113113666519,0.16233766233766284,-3.189977739700951,4.539772727272728,1.0,0.928
EQ,original,R,raw,-10.0,nonoverlap,linear,138,5,0.06594202898550726,0.07572463768115942,-0.009782608695652175,-0.03164076158216783,0.011557570568700704,-14.835164835164834,-63.9892719382835,16.671401515151512,1.0,0.4065
EQ,original,R,raw,-10.0,nonoverlap,threshold,138,5,0.07318840579710145,0.07572463768115942,-0.002536231884057971,-0.019109310613654083,0.013294290834613417,-3.465346534653465,-32.442015599343186,16.10306178239475,1.0,0.747
EQ,original,R,raw,-10.0,nonoverlap,historical,138,5,0.0782608695652174,0.07572463768115942,0.002536231884057965,-0.027017934520943667,0.03404497098646035,3.240740740740733,-35.870641411967284,41.691919191919176,1.0,0.8655
EQ,original,R,raw,-10.0,nonoverlap,state_hist,138,5,0.0782608695652174,0.07572463768115942,0.0025362318840579717,-0.003957268667824361,0.012589141117998548,3.2407407407407414,-6.32649646203863,15.626460280373829,1.0,0.5965
EQ,original,R,raw,-20.0,full,linear,509,5,0.04479371316306483,0.04778978388998036,-0.0029960707269155212,-0.008646065044082548,0.002808131317042944,-6.688596491228072,-20.794488308533253,6.189271877498307,1.0,0.2895
EQ,original,R,raw,-20.0,full,threshold,509,5,0.041846758349705304,0.04778978388998036,-0.00594302554027505,-0.011937256081992923,-0.0006551290924410209,-14.201877934272302,-30.85498499727223,-1.567954467057608,1.0,0.034
EQ,original,R,raw,-20.0,full,historical,509,5,0.06895874263261297,0.04778978388998036,0.021168958742632613,0.00836196503918023,0.03639157025789346,30.698005698005698,14.517316017316018,45.70254431103488,1.0,0.004
EQ,original,R,raw,-20.0,full,state_hist,509,5,0.045579567779960715,0.04778978388998036,-0.0022102161100196463,-0.013457874782887918,0.009373273010313288,-4.849137931034481,-36.094139989148125,19.79917009104826,1.0,0.706
