table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
4,M1_+global_state:btc_vol,p,0.01,archive_main_B40,0.0,False,table7_decisive_robustness.csv,p_btc_vol
4,M1_+global_state:btc_vol,p,0.01,historical_saved_NOT_RERUN,0.0,False,table7_decisive_robustness.csv,p_btc_vol
4,M2_+ACCOUNT_LS:downside,beta,0.121,default_B300,0.121,True,table7_decisive_robustness.csv,downside
4,M2_+ACCOUNT_LS:downside,beta,0.121,archive_main_B40,0.121,True,table7_decisive_robustness.csv,downside
4,M2_+ACCOUNT_LS:downside,beta,0.121,historical_saved_NOT_RERUN,0.121,True,table7_decisive_robustness.csv,downside
4,M2_+ACCOUNT_LS:downside,p,0.18,default_B300,0.18,True,table7_decisive_robustness.csv,p_downside
4,M2_+ACCOUNT_LS:downside,p,0.18,archive_main_B40,0.25,False,table7_decisive_robustness.csv,p_downside
4,M2_+ACCOUNT_LS:downside,p,0.18,historical_saved_NOT_RERUN,0.25,False,table7_decisive_robustness.csv,p_downside
4,M2_+ACCOUNT_LS:btc_vol,beta,-0.275,default_B300,-0.275,True,table7_decisive_robustness.csv,btc_vol
4,M2_+ACCOUNT_LS:btc_vol,beta,-0.275,archive_main_B40,-0.275,True,table7_decisive_robustness.csv,btc_vol
4,M2_+ACCOUNT_LS:btc_vol,beta,-0.275,historical_saved_NOT_RERUN,-0.275,True,table7_decisive_robustness.csv,btc_vol
4,M2_+ACCOUNT_LS:btc_vol,p,0.05,default_B300,0.027,False,table7_decisive_robustness.csv,p_btc_vol
4,M2_+ACCOUNT_LS:btc_vol,p,0.05,archive_main_B40,0.0,False,table7_decisive_robustness.csv,p_btc_vol
4,M2_+ACCOUNT_LS:btc_vol,p,0.05,historical_saved_NOT_RERUN,0.0,False,table7_decisive_robustness.csv,p_btc_vol
4,M2_+ACCOUNT_LS:account_ls,beta,-0.157,default_B300,-0.157,True,table7_decisive_robustness.csv,account_ls
4,M2_+ACCOUNT_LS:account_ls,beta,-0.157,archive_main_B40,-0.157,True,table7_decisive_robustness.csv,account_ls
4,M2_+ACCOUNT_LS:account_ls,beta,-0.157,historical_saved_NOT_RERUN,-0.157,True,table7_decisive_robustness.csv,account_ls
4,M2_+ACCOUNT_LS:account_ls,p,0.01,default_B300,0.013,True,table7_decisive_robustness.csv,p_account_ls
4,M2_+ACCOUNT_LS:account_ls,p,0.01,archive_main_B40,0.0,False,table7_decisive_robustness.csv,p_account_ls
4,M2_+ACCOUNT_LS:account_ls,p,0.01,historical_saved_NOT_RERUN,0.0,False,table7_decisive_robustness.csv,p_account_ls
5,EQ_q0.1,beta,-6.78,default_B300,-6.779,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.1,beta,-6.78,archive_supplement_B200,-6.779,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.1,beta,-6.78,historical_saved_NOT_RERUN,-6.779,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.1,p,0.00,default_B300,0.0,True,robustness_kp_main_quantile.csv,p
5,EQ_q0.1,p,0.00,archive_supplement_B200,0.0,True,robustness_kp_main_quantile.csv,p
5,EQ_q0.1,p,0.00,historical_saved_NOT_RERUN,0.0,True,robustness_kp_main_quantile.csv,p
5,EQ_q0.5,beta,-9.28,default_B300,-9.277,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.5,beta,-9.28,archive_supplement_B200,-9.277,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.5,beta,-9.28,historical_saved_NOT_RERUN,-9.277,True,robustness_kp_main_quantile.csv,beta_downside
5,EQ_q0.5,p,0.00,default_B300,0.013,False,robustness_kp_main_quantile.csv,p
5,EQ_q0.5,p,0.00,archive_supplement_B200,0.0,True,robustness_kp_main_quantile.csv,p
5,EQ_q0.5,p,0.00,historical_saved_NOT_RERUN,0.0,True,robustness_kp_main_quantile.csv,p
5,EQ_M2,p,0.00,default_B300,0.0,True,robustness_kp_mediation.csv,ch_p
5,EQ_M2,p,0.00,archive_supplement_B200,0.0,True,robustness_kp_mediation.csv,ch_p
5,EQ_M2,p,0.00,historical_saved_NOT_RERUN,0.0,True,robustness_kp_mediation.csv,ch_p
5,CAP_q0.1,beta,-8.82,default_B300,-8.922,False,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.1,beta,-8.82,archive_supplement_B200,-8.922,False,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.1,beta,-8.82,historical_saved_NOT_RERUN,-8.815,True,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.1,p,0.11,default_B300,0.12,False,robustness_kp_main_quantile.csv,p
5,CAP_q0.1,p,0.11,archive_supplement_B200,0.06,False,robustness_kp_main_quantile.csv,p
5,CAP_q0.1,p,0.11,historical_saved_NOT_RERUN,0.107,True,robustness_kp_main_quantile.csv,p
5,CAP_q0.5,beta,-4.21,default_B300,-4.213,True,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.5,beta,-4.21,archive_supplement_B200,-4.213,True,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.5,beta,-4.21,historical_saved_NOT_RERUN,-4.214,True,robustness_kp_main_quantile.csv,beta_downside
5,CAP_q0.5,p,0.01,default_B300,0.013,True,robustness_kp_main_quantile.csv,p
5,CAP_q0.5,p,0.01,archive_supplement_B200,0.0,False,robustness_kp_main_quantile.csv,p
5,CAP_q0.5,p,0.01,historical_saved_NOT_RERUN,0.013,True,robustness_kp_main_quantile.csv,p
5,CAP_M2,p,0.00,default_B300,0.007,False,robustness_kp_mediation.csv,ch_p
5,CAP_M2,p,0.00,archive_supplement_B200,0.0,True,robustness_kp_mediation.csv,ch_p
5,CAP_M2,p,0.00,historical_saved_NOT_RERUN,0.0,True,robustness_kp_mediation.csv,ch_p
