mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,qrf,history,calibrated,qrf,history,raw,5,online_correction,1088,0.005303048200330714,-0.0528388000033658,0.06509164075573116,-0.42797188179346524,-5.249915035121138,4.281490854136144,0.8615,2,4
available_macro,CAP,qrf,history,calibrated,qrf,history,raw,10,online_correction,1088,0.005303048200330714,-0.04151510553019053,0.05542942176604941,-0.42797188179346524,-4.4343877137760375,3.3338484412864764,0.8235,2,4
available_macro,EQ,boosting,base,raw,linear,base,raw,1,algorithm_vs_linear,1088,-0.017608515902468702,-0.09868671807015861,0.06203988446708158,0.958730616004122,-3.468010081785055,5.0953426863895395,0.671,2,4
available_macro,EQ,boosting,base,raw,linear,base,raw,5,algorithm_vs_linear,1088,-0.017608515902468702,-0.08971876232489272,0.052444942387892476,0.958730616004122,-2.944369504541758,4.521488253018681,0.6345,2,4
available_macro,EQ,boosting,base,raw,linear,base,raw,10,algorithm_vs_linear,1088,-0.017608515902468702,-0.07375523023209149,0.03827017592501953,0.958730616004122,-2.2342158781403896,3.7527856594210593,0.554,2,4
available_macro,EQ,qrf,base,raw,linear,base,raw,1,algorithm_vs_linear,1088,-0.14523835968351365,-0.22679102907358117,-0.06765758660207163,7.907790913104728,3.845350317561202,11.589261002017999,0.001,4,4
available_macro,EQ,qrf,base,raw,linear,base,raw,5,algorithm_vs_linear,1088,-0.14523835968351365,-0.22068906779771233,-0.07555397962384548,7.907790913104728,4.4038887259555315,11.057281783810522,0.0005,4,4
available_macro,EQ,qrf,base,raw,linear,base,raw,10,algorithm_vs_linear,1088,-0.14523835968351365,-0.20549191865213118,-0.0872310360524028,7.907790913104728,4.9556589644887765,10.55226696765401,0.0005,4,4
available_macro,EQ,boosting,full,raw,linear,full,raw,1,algorithm_vs_linear,1088,-0.036624449982503526,-0.12290763639440332,0.04658450488114791,1.972052020515036,-2.5635192942231426,6.266156934992145,0.397,2,4
available_macro,EQ,boosting,full,raw,linear,full,raw,5,algorithm_vs_linear,1088,-0.036624449982503526,-0.11528979069661606,0.04059916363538962,1.972052020515036,-2.350655402343874,5.939481267544294,0.371,2,4
